domain,dimension,type,group,indicator,date,populationTotal,GNIperCap,value
ecological,climate change,global doughnut,World,co2_ppm,2000,NA,NA,368.96
ecological,climate change,global doughnut,World,co2_ppm,2001,NA,NA,370.57
ecological,climate change,global doughnut,World,co2_ppm,2002,NA,NA,372.58
ecological,climate change,global doughnut,World,co2_ppm,2003,NA,NA,375.14
ecological,climate change,global doughnut,World,co2_ppm,2004,NA,NA,376.95
ecological,climate change,global doughnut,World,co2_ppm,2005,NA,NA,378.98
ecological,climate change,global doughnut,World,co2_ppm,2006,NA,NA,381.15
ecological,climate change,global doughnut,World,co2_ppm,2007,NA,NA,382.9
ecological,climate change,global doughnut,World,co2_ppm,2008,NA,NA,385.02
ecological,climate change,global doughnut,World,co2_ppm,2009,NA,NA,386.5
ecological,climate change,global doughnut,World,co2_ppm,2010,NA,NA,388.76
ecological,climate change,global doughnut,World,co2_ppm,2011,NA,NA,390.63
ecological,climate change,global doughnut,World,co2_ppm,2012,NA,NA,392.65
ecological,climate change,global doughnut,World,co2_ppm,2013,NA,NA,395.4
ecological,climate change,global doughnut,World,co2_ppm,2014,NA,NA,397.34
ecological,climate change,global doughnut,World,co2_ppm,2015,NA,NA,399.65
ecological,climate change,global doughnut,World,co2_ppm,2016,NA,NA,403.07
ecological,climate change,global doughnut,World,co2_ppm,2017,NA,NA,405.22
ecological,climate change,global doughnut,World,co2_ppm,2018,NA,NA,407.61
ecological,climate change,global doughnut,World,co2_ppm,2019,NA,NA,410.07
ecological,climate change,global doughnut,World,co2_ppm,2020,NA,NA,412.44
ecological,climate change,global doughnut,World,co2_ppm,2021,NA,NA,414.7
ecological,climate change,global doughnut,World,co2_ppm,2022,NA,NA,417.07
ecological,climate change,global doughnut,World,erf_wm2,2000,NA,NA,1.768161509
ecological,climate change,global doughnut,World,erf_wm2,2001,NA,NA,1.800168769
ecological,climate change,global doughnut,World,erf_wm2,2002,NA,NA,1.769856169
ecological,climate change,global doughnut,World,erf_wm2,2003,NA,NA,1.782140571
ecological,climate change,global doughnut,World,erf_wm2,2004,NA,NA,1.820539588
ecological,climate change,global doughnut,World,erf_wm2,2005,NA,NA,1.818268351
ecological,climate change,global doughnut,World,erf_wm2,2006,NA,NA,1.836035212
ecological,climate change,global doughnut,World,erf_wm2,2007,NA,NA,1.907146187
ecological,climate change,global doughnut,World,erf_wm2,2008,NA,NA,1.989420045
ecological,climate change,global doughnut,World,erf_wm2,2009,NA,NA,2.080128136
ecological,climate change,global doughnut,World,erf_wm2,2010,NA,NA,2.125213918
ecological,climate change,global doughnut,World,erf_wm2,2011,NA,NA,2.170834936
ecological,climate change,global doughnut,World,erf_wm2,2012,NA,NA,2.192857836
ecological,climate change,global doughnut,World,erf_wm2,2013,NA,NA,2.305792855
ecological,climate change,global doughnut,World,erf_wm2,2014,NA,NA,2.345523777
ecological,climate change,global doughnut,World,erf_wm2,2015,NA,NA,2.407861829
ecological,climate change,global doughnut,World,erf_wm2,2016,NA,NA,2.541620271
ecological,climate change,global doughnut,World,erf_wm2,2017,NA,NA,2.584380082
ecological,climate change,global doughnut,World,erf_wm2,2018,NA,NA,2.650136802
ecological,climate change,global doughnut,World,erf_wm2,2019,NA,NA,2.647117717
ecological,climate change,global doughnut,World,erf_wm2,2020,NA,NA,2.794099165
ecological,climate change,global doughnut,World,erf_wm2,2021,NA,NA,2.749664805
ecological,climate change,global doughnut,World,erf_wm2,2022,NA,NA,2.914967669
ecological,climate change,national aggregate,World,co2_footprint,2000,6022392584,10811.191884617061,NA
